"GEO";"GEO_OBJECT";"TRANS";"AGE";"EMPSTA_ENQ";"WORK_AREA";"RP_MEASURE";"FREQ";"OBS_STATUS";TIME_PERIOD;OBS_VALUE
"200041572";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;223,646243
"242900074";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;693,877422
"244900809";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;695,505144
"243301264";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;343,590785
"244000873";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;410,14532
"200072692";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;363,16123
"200055481";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;327,724985
"200068815";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;416,719697
"200026573";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;897,85124
"200036473";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1322,808104
"200096956";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;2781,489047
"200023372";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1106,769943
"200070795";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;105,859159
"200035202";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;446,189674
"242101509";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;308,55203
"242200715";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;419,509442
"200072049";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;605,986222
"200036077";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;2089,531023
"241200765";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;261,795436
"243500634";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;444,961849
"242500361";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;7108,483541
"200067031";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;354,696041
"200069912";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;115,058837
"200090561";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;862,774665
"200067817";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;863,525633
"200066553";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;320,965572
"200067593";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;315,360772
"200039758";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;608,361471
"200041010";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;688,583965
"200068955";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;367,818609
